제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
현대자동차(주),더 뉴 팰리세이드,2022-05-04,2022-07-12,2022-07-21,8속 자동 변속기 사양 변경 에 따른 ECU 소프트웨어 반영 오류로 저속 타력주행 구간에서 엔진 RPM 떨어짐
비엠더블유코리아(주),BMW 218d Active Tourer,2021-03-20,2022-07-08,2022-07-22,"에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류를 발견하였습니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시, 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다."
현대자동차(주),일렉시티 수소전기버스(CY),2019-05-15,2021-11-09,2022-07-22,"현대자동차(주) 일렉시티 수소전기버스(CY), 엑시언트 수소전기트럭(QZ) 일부 차량에서 수소 감지센서의 내부 소재(촉매)의 성능 저하로 인해 수소가스 누출시 센서가 감지하지 못하면 수소누출 경고등이 점등되지 않아 탑승자가 이를 인지하지 못하여 안전에 지장을 줄 가능성으로 리콜 실시"
현대자동차(주),엑시언트 수소전기트럭(QZ),2021-12-07,2021-12-08,2022-07-22,"현대자동차(주) 일렉시티 수소전기버스(CY), 엑시언트 수소전기트럭(QZ) 일부 차량에서 수소 감지센서의 내부 소재(촉매)의 성능 저하로 인해 수소가스 누출시 센서가 감지하지 못하면 수소누출 경고등이 점등되지 않아 탑승자가 이를 인지하지 못하여 안전에 지장을 줄 가능성으로 리콜 실시"
현대자동차(주),아반떼 N-Line(CN7 N-Line),2020-08-24,2022-05-14,2022-07-22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
현대자동차(주),아반떼 N(CN7 N),2021-06-24,2022-05-16,2022-07-22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
현대자동차(주),아반떼 하이브리드(CN7 HEV),2020-08-12,2022-05-18,2022-07-22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
현대자동차(주),아반떼(CN7),2020-03-11,2022-05-16,2022-07-22,"아반떼(CN7), 아반떼 하이브리드(CN7 HEV), 아반떼 N(CN7 N), 아반떼 N-Line(CN7 N-Line) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성이 있는 결함"
메르세데스벤츠코리아(주),E 400 4MATIC Coup?,2016-11-17,2016-12-19,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 400 4MATIC,2016-04-09,2017-01-31,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),Mercedes-AMG E 43 4MATIC,2016-05-10,2017-01-24,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 300 4MATIC,2016-07-12,2017-01-31,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 300,2016-08-08,2016-12-21,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),E 350 d,2015-12-22,2015-12-22,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 200 Convertible,2016-12-15,2016-12-15,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 300,2016-01-18,2016-01-18,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 300 4MATIC,2014-09-30,2014-09-30,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 200,2014-08-05,2016-02-27,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 250 d 4MATIC,2015-05-27,2016-11-16,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 220 d 4MATIC,2016-02-10,2016-02-29,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
메르세데스벤츠코리아(주),C 220 d,2014-07-15,2015-07-03,2022-07-29,"생산 공정 편차로 인하여 에어 서스펜션 컴프레서의 압력 방출 밸브의 표면 코팅 내성이 충분하지 않아 부식되어 고착될 수 있습니다. 이러한 경우, 차량의 높이를 조정하지 못할 수 있고, 차량의 높이가 제자리에 고정되거나 의도하지 않게 낮아질 수도 있습니다."
기아주식회사,EV6(CV),2021-07-12,2022-05-03,2022-08-01,전자식변속제어장치(SCU) 로직 미흡으로 인해 경사로 주차 중 변속장치의 주차유지(P단)가 해제되면서 차량 전/후방 밀림
(주)다산중공업,다산중공업 CT 300L Super2 고소작업차,2017-01-11,2017-12-27,2022-08-04,"미인증 부착물인 인버터, 전선릴, 에어호스, 경광등, 버켓탈부착 브라켓, 보조배터리, 고임목 수목함, 에어콤프레셔등 추가설치 및 구조물 보강등으로 총 중량 초과"
비엠더블유코리아(주),iX xDrive50,2020-09-01,2022-06-30,2022-08-05,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
비엠더블유코리아(주),iX xDrive40,2021-08-02,2021-11-18,2022-08-05,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
비엠더블유코리아(주),iX M60,2022-03-29,2022-05-16,2022-08-05,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
비엠더블유코리아(주),218d Active Tourer,2022-06-17,2022-07-18,2022-08-05,"당사의 문서번호 『BGK-2022-A61-073』로 2022년 07월 20일 제출한 에어백 컨트롤 유닛 시정조치계획보고와 관련하여 BMW 독일 본사로부터 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류가 있는 차량이 추가 발견되어 보고 드립니다. 에어백 컨트롤 유닛 내 액티브 보행자 보호장치 소프트웨어 오류로 차량 속도, 주행 방향, 외부 온도를 감지하는 센서 고장 시 경고등 또는 경고 메시지가 표시되지 않아 운전자가 해당 장치의 고장을 인지 및 수리를 제때 할 수 없을 수 있습니다"
포드세일즈서비스코리아(유),2021년식 Expedition,2020-11-19,2021-08-31,2022-08-05,일부 2021년식 Expedition 차량은 퓨즈 박스 내에 일부 엔진 냉각수 냉각휀 릴레이* 접지 회로의 코팅 불량으로 인한 부식으로 과열이 발생하여 화재가 발생할 가능성이 있습니다.
현대자동차(주),엑시언트(QZ),2016-07-26,2021-05-13,2022-08-11,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),뉴파워트럭(EG),2017-02-10,2021-02-06,2022-08-11,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),메가트럭 와이드캡(EG),2016-10-11,2020-12-02,2022-08-11,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),메가트럭(EG),2017-04-12,2021-01-14,2022-08-11,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),카운티(CS),2016-09-28,2020-12-29,2022-08-11,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
현대자동차(주),마이티(QT),2016-09-08,2021-02-27,2022-08-11,알터네이터의 레귤레이터(전압 조정기) 제조 불량으로 인한 내부 단락으로 인해 알터네이터 전기 생성 불량 발생
메르세데스벤츠코리아(주),Mercedes-AMG EQS 53 4MATIC+,2021-07-14,2021-07-14,2022-08-12,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQS 450 4MATIC,2021-10-25,2021-10-25,2022-08-12,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQS 450+,2021-03-15,2022-02-03,2022-08-12,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQS 350,2021-09-07,2021-09-07,2022-08-12,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
메르세데스벤츠코리아(주),EQE 350+,2021-12-10,2021-12-21,2022-08-12,"공급 업체의 생산 공정 오류로 인하여, 앞, 뒤 범퍼 견인고리 홀 내부 나사산의 코팅이 균일하게 도포되지 않았을 수 있습니다. 이로 인하여 홀의 직경이 다소 축소되어 견인고리가 정상 연결 깊이까지 체결되지 않을 수 있습니다."
비엠더블유코리아(주),BMW i4 eDrive40,2021-11-24,2022-06-01,2022-08-19,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
비엠더블유코리아(주),BMW iX M60,2022-03-30,2022-03-30,2022-08-19,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
비엠더블유코리아(주),BMW i4 M50,2021-11-23,2022-06-23,2022-08-19,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
비엠더블유코리아(주),BMW iX xDrive50,2021-12-17,2022-06-27,2022-08-19,배터리 셀 생산 공정 중에 손상된 음극판 조각이 배터리 셀 내부에 유입되어 고전압 배터리에 단락이 발생 할 수 있습니다
스텔란티스코리아주식회사,DS3 Crossback E-tense Electric,2020-01-20,2022-01-27,2022-08-23,"에어컨 공기 압축기 제조공정 중 전동 모터의 구리선 피복 처리가 제대로 되지 않을 가능성이 있습니다. 이로 인해 구리선이 에어컨 냉매 또는 수분에 노출될 경우, 시간이 지남에 따라 부식되어 저항이 증가할 수 있습니다."
스텔란티스코리아주식회사,Peugeot e-2008 Electric,2019-01-23,2022-03-25,2022-08-23,"에어컨 공기 압축기 제조공정 중 전동 모터의 구리선 피복 처리가 제대로 되지 않을 가능성이 있습니다. 이로 인해 구리선이 에어컨 냉매 또는 수분에 노출될 경우, 시간이 지남에 따라 부식되어 저항이 증가할 수 있습니다."
스텔란티스코리아주식회사,Peugeot e-208 Electric,2020-01-16,2022-04-14,2022-08-23,"에어컨 공기 압축기 제조공정 중 전동 모터의 구리선 피복 처리가 제대로 되지 않을 가능성이 있습니다. 이로 인해 구리선이 에어컨 냉매 또는 수분에 노출될 경우, 시간이 지남에 따라 부식되어 저항이 증가할 수 있습니다."
스텔란티스코리아주식회사,Citroen C5 Aircross 1.5 BlueHDi,2018-06-20,2020-06-16,2022-08-23,엔진 ECU와 자동변속기 간 신호 설정 오류가 있습니다.
스텔란티스코리아주식회사,Peugeot 508 SW 1.5 BlueHDi,2019-09-23,2019-09-23,2022-08-23,엔진 ECU와 자동변속기 간 신호 설정 오류가 있습니다.
스텔란티스코리아주식회사,Peugeot 508 1.5 BlueHDi,2018-06-20,2020-06-16,2022-08-23,엔진 ECU와 자동변속기 간 신호 설정 오류가 있습니다.
포드세일즈서비스코리아(유),2021년 Navigator,2020-11-20,2021-08-31,2022-08-24,"일부 2021년식 Navigator 차량은 퓨즈 박스 내에 일부 엔진 냉각수 냉각휀 릴레이* 접지 회로의 코팅 불량으로 인한 부식으로 과열이 발생하여 화재가 발생할 가능성이 있어 제작결함을 시정하고자 합니다. *릴레이: 특정 신호에 의해 전기 회로를 열거나 닫는 장치. *2022년 5월 30일 사전 보고 시에는 대상대수가 Expedition 174대, Navigator 183대로서 2020년 12월 1일부터 2021년 4월 30일 사이에 생산된 차량 중 국내에 수입된 차량이었으나, 이중 Expedition 174대는 2022년 8월 5일부터 실시한 22S48 결함 시정으로 포함되어 공지 되었습니다. 그리고 해당 시정 조치의 대상 범위가 2020년 12월 1일부터 2021년 4월 30일 사이에 생산된 차량에서 2020년 7월부터 2021년 8월 사이에 생산된 차량으로 확대되며 Navigator 차량의 대상대수가 183대에서 247대로 확대되었습니다."
현대자동차(주),베뉴(QX),2019-06-27,2022-06-22,2022-08-25,베뉴(QX) 일부 차량에서 충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나와 뒷좌석 탑승자에게 상해를 입힐 가능성
한국토요타자동차(주),토요타 RAV4 하이브리드 AWD,2022-01-07,2022-03-29,2022-08-25,조수석 시트의 조립과정이 부적절하여 조수석 승객 감지장치*의 센서와 시트 프레임이 간섭되어 조수석 승객 하중을 올바르게 감지하지 못할 가능성이 있음. *조수석 승객의 조건을 감지하여 조수석 에어백의 전개를 제어를 하는 장치
르노코리아자동차 주식회사,MASTER,2019-12-02,2021-10-04,2022-08-26,"국토교통부가 시행한 2021년 자기인증 적합조사 결과, MASTER 일부 차량이 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제108조의 2(연료소비율)에서 정하는 기준에 부적합한 것으로 확인됨"
포르쉐코리아 주식회사,타이칸,2020-09-23,2022-07-28,2022-08-26,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
비엠더블유코리아(주),M550 xDrive,2022-06-23,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),M5,2022-06-23,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),640i xDrive,2022-06-23,2022-06-23,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),630i xDrive,2022-06-24,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),620d xDrive,2022-06-24,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),530i xDrive,2022-06-23,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),530i,2022-06-23,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),530e,2022-06-23,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),520i,2022-06-23,2022-06-24,2022-08-26,"양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 제대로 조여지지 않았을 가능성이 확인되었습니다.이로 인해 양측 앞좌석 시트, 뒷좌석 등받이 및 안전벨트의 나사가 고정되지 않을 수 있습니다."
비엠더블유코리아(주),Z4 sDrive30i,2009-04-22,2011-07-29,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),Z4 sDrive,2010-09-17,2011-06-07,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),Z4 3.0si Coupe,2006-07-05,2007-06-28,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),Z4 3.0si,2006-07-25,2008-03-14,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),Z4 3.0si,2006-03-10,2006-09-19,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),Z4 3.0si,2006-01-11,2007-06-14,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),Z4 3.0i,2006-03-01,2008-07-16,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),xDrive30,2009-10-01,2009-11-30,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),xDrive30,2006-10-11,2009-06-02,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X5 xDrive 30i,2009-10-12,2009-10-12,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X5 xDrive30i,2007-02-02,2008-08-04,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X5 3.0si,2009-12-03,2010-01-21,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X5 3.0si,2007-02-10,2009-07-22,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X5 3.0si,2007-03-23,2010-02-23,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X3 3.0si,2009-09-01,2010-01-13,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X3 3.0si,2006-08-29,2009-03-02,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X3 3.0si,2007-01-23,2007-04-16,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X3 3.0i,2007-07-16,2007-09-07,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),X3 3.0i,2006-09-05,2007-03-27,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),730Li,2005-03-11,2007-03-05,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
비엠더블유코리아(주),730i,2005-03-11,2006-09-21,2022-08-26,"블로우바이히터 조립 공정 중, 블로우바이히터 PTC(Positive temperature coefficient) 발열체*와 구리관 사이가 벌어진 상태로 조립되었을 가능성이 발견되었습니다."
